Project Title,Objective,OutCome,Skills,SuperVisior
Energy-Efficient Cluster Head Selection in WSN for IoT Applications Using Metaheuristic Optimization,To design and implement an energy-efficient cluster head (CH) selection algorithm to prolong network lifetime.,Research paper,MATLAB/Python programming Optimization algorithms,Kanwaldeep Kaur(E8852)
HGNN-Care: Heterogeneous Graph Neural Networks for Predicting Multi-Disease Interactions in Women's Health,Research paper,python,Sonam Juneja(E11002)
Deep-TriFusion: A Multimodal Hybrid CNN–Transformer System for Triple-Disease Screening in Women,Research paper,python,Sonam Juneja(E11002)
AgriFormer: A Transformer-Based Architecture for Precision Crop Health Monitoring Using Multispectral Imagery,Research paper,python,Sonam Juneja(E11002)
ID-FusionNet: Multimodal Integration of Symptoms Imaging and Laboratory Data for High-Accuracy Infectious Disease Classification,Research paper,python,Sonam Juneja(E11002)
InfectScan-ViT: Vision Transformers for Imaging-Based Diagnosis of Respiratory Infectious Diseases,Research paper,python,Sonam Juneja(E11002)
Weater prediction and climate change studies,To forecast weather which is one of the greatest challenges in meteorological department. Weather prediction is necessary so as to inform people and prepare them in advance about the current and upcoming weather condition. This helps in reduction in loss of human life and loss of resources and minimizing the mitigation steps that are expected to be taken after a natural disaster occurs. Methods/Statistical analysis: This study makes a mention of various techniques and algorithms that are likely,Research paper,Knowlege of Programming,Pritpal Singh(E8067)
E Authentication System Using QR Code and OTP,In the Project once the email id and password is authenticated the user may proceed with next authentication section where he/she need to select the type of authentication as QR (Quick Response) Code or OTP (One Time Password). Once the user selects the authentication type as QR Code then system will generate a QR Code and send it to user's mail id over internet. If user select's OTP then SMS will be sent on his/her registered mobile number. If the user passes the authentication then system,Research paper,Information Security and Cryptography,Pritpal Singh(E8067)
Web Traffic Analyzer,The main idea for implementing this application is to provide a plug-in for website owners to analyze their website traffic as per day weekly monthly and analyze unique visitors for their site..Using this plug-in website owner can analyze his website and improve their site based on the stats displayed by this application.,Product,Web Development using Asp.Net,Pritpal Singh(E8067)
Rethinking Vehicular Communications: Merging VANET with cloud computing,In this project you can put forth the taxonomy of VANET based cloud computing. First you can define VANET Cloud architecture.,Product,Cloud Computing / Fog Computing using Java using eclipse,Pritpal Singh(E8067)
AI-Based Smart Surveillance System (Edge AI),To perform real-time surveillance detect intrusions or suspicious activities and reduce dependency on cloud-based processing.,Service,Python OpenCV TensorFlow Lite / PyTorch Linux OS,Jagmeet Kaur(E8387)
IoT-Based Smart Energy Monitoring and Optimization System,To monitor real-time energy consumption and optimize power usage using data analytics.,Product,Arduino IDE Embedded C ThingSpeak / Firebase,Jagmeet Kaur(E8387)
Smart Irrigation System Using Soil Moisture Sensor,To conserve water To automate irrigation To increase agricultural efficiency,Competition,Arduino Soil Moisture Sensor Relay Module Embedded C Basics of Electronics,Damandeep(E18881)
Smart Home Automation System,o understand wireless communication in IoT systems To develop skills in hardware-software integration To gain experience in designing user-controlled systems,Product,Arduino/ESP8266 Relay Modules IoT Platforms Embedded C,Damandeep(E18881)
Accident Detection and Alert System,To understand real-time event detection using sensors 2. To gain experience with GSM communication for alerts. 3. To understand system reliability and emergency response mechanisms,Competition,Arduino Accelerometer GPS GSM Module Embedded Programming,Damandeep(E18881)
Smart Energy Meter with Mobile App Monitoring,To design a low-cost smart energy monitoring system enable real-time energy tracking reduce power wastage and introduce students to IoT-based embedded solutions.,Research paper,C programming Arduino Sensors basics IoT concepts Circuit design,Navjyot Kaur(E8508)
IoT-Based Gas Leakage Detection and Alert System,To design a safety-oriented embedded system and raise awareness about IoT-based hazard monitoring.,Patent,Arduino IoT basics Sensors Embedded C Networking basics,Navjyot Kaur(E8508)
Smartly designed Irrigation System Using Soil Moisture Sensor,To develop an efficient irrigation mechanism and introduce technology-driven farming solutions.,Research paper,Sensors Arduino C programming IoT basics Electronics,Navjyot Kaur(E8508)
RFID-Based Smart Attendance System,To automate attendance management and improve accuracy using embedded technology.,Research paper,Sensors Arduino C programming IoT basics Electronics,Navjyot Kaur(E8508)
Women Safety SOS Alert and Emergency Notification System,To design safety-oriented software applications To understand emergency alert workflows To learn user input handling and notification logic To develop secure and reliable systems To apply software concepts to social issues,Product,Programming Basics UI Design Database Basics Logical Thinking Software Design,Damandeep(E18881)
Safe Route Finder Application for Women Safety,To understand route selection logic To design safety-focused applications To learn data analysis for decision making To develop user-friendly interfaces To apply algorithms to real-life problems,Product,Programming Logic Basic Algorithms UI Design Data Handling Problem Solving,Damandeep(E18881)
Student Performance Analysis System,To develop analytical thinking and apply data analysis to education systems.,Hackathon,Python Data structures SQL Statistics basics Visualization,Navjyot Kaur(E8508)
Online Complaint Management System,To build a basic full-stack application and understand real-world web workflows.,Hackathon,HTML CSS JavaScript PHP/Java Database concepts,Navjyot Kaur(E8508)
Disease Detection Using Symptoms Analysis,To understand healthcare data representation To design rule-based decision systems To apply logical conditions for disease detection To improve problem-solving skills To develop user-friendly software interfaces,Product,Python/Java Basic Data Structures Logical Reasoning UI Design File Handling,Damandeep(E18881)
Smart Resume Analyzer for Fresh Graduates,To introduce text analysis techniques and help students understand real-world applications of data analytics.,Hackathon,Python Text processing Data analytics basics File handling UI design,Navjyot Kaur(E8508)
Smart Campus Event Management and Notification System,To design a campus-level automation system improve information dissemination reduce manual communication and give students hands-on experience in developing real-world web applications.,Hackathon,HTML & CSS JavaScript Backend programming Database concepts UI design,Navjyot Kaur(E8508)
Developing a Taxi Pooling App for Residents of the Same Campus (Gchchhamh)),Solving a real world problem using computer science engineering and mobile technology.,Product,Problem solving skills Programming language UI/ UX design testing debugging,Puja Shrivastava(E17060)
Smart Lighting System using IOT,This project involves creating a smart lighting system that can be controlled by a smartphone app. The project uses IoT devices such as smart bulbs and sensors to automatically turn on and off lights and to adjust the brightness and color of the lights based on the user's preferences.,Product,Programming language IOT device knowledge Architecture sensor software knowledge,Puja Shrivastava(E17060)
Network Intrusion Detection System Using Packet Sniffing,To detect suspicious network activities using packet analysis.,Product,PC / Laptop Network Interface CardPython Wireshark Scapy Linux OS,Jagmeet Kaur(E8387)
Smart Door Lock System Using RFID and Password,To provide secure and controlled access to rooms or labs.,Service,Arduino / ESP32 RFID Reader Keypad Servo Motor LCDArduino IDE Embedded C,Jagmeet Kaur(E8387)
IoT-Based Health Monitoring System,To monitor basic health parameters and send alerts in emergencies.,Service,ESP32 / Arduino Heart Rate Sensor Temperature Sensor SpO2 SensorArduino IDE Embedded C IoT das,Jagmeet Kaur(E8387)
DECENTRALIZED VOTING APPLICATION USING BLOCKCHAIN,TO IMPLEMENT BLOCK CHAIN TECHNOLOGY WITH TOKEN BASED SYSTEMS,Product,BLOCK CHAIN,Pritpal Singh(E8067)
Voice controlled PC,To develop fully voice controlled PC to perform different task To make fully voice controlled personal computer which can perform different task,Product,Machine Learning/ Deep Learning /Python,Pritpal Singh(E8067)
Bird Species Identification from an image using Keras.,1.Identification of bird Species based on feature extraction.2.To understand the intricacies of different machine learning algorithms and to learn which algorithms gives good result for which use case.,Product,Machine Learning/ Deep Learning /Python,Pritpal Singh(E8067)
Facial Expression Detection Using PCA/Feature Extraction,To develop the algorithm for face recognition feature extraction and emotion classification using Skin Color Segmentation Knowledge-Based Approach and PCA respectively.,Product,Image Processing using Asp.Net,Pritpal Singh(E8067)
A Multimodal Machine Learning Framework for Integrated Detection of ENT Diseases,To design a unified system combining ear nose and throat data To improve diagnostic accuracy using multimodal learning To compare unimodal and multimodal diagnostic approaches,Research paper,Hardware: PC/Laptop with GPU Software: Python TensorFlow/PyTorch Scikit-learn NLP libraries Datas,Jagmeet Kaur(E8387)
NLP-Based Automated Detection of Throat Diseases from Clinical Text Reports,To analyze unstructured throat-related clinical text To predict throat diseases using NLP techniques To compare traditional NLP and deep learning models,Research paper,Hardware: PC/Laptop Software: Python NLTK/SpaCy TensorFlow/PyTorch Dataset: ENT clinical text data,Jagmeet Kaur(E8387)
Machine Learning-Based Classification of Nasal Disorders Using Clinical Symptom Data,To classify nasal diseases using symptom-based clinical data To evaluate traditional machine learning algorithms To develop a low-cost nasal disease diagnostic support system,Research paper,Hardware: Standard PC/Laptop Software: Python Scikit-learn Pandas NumPy Dataset: Clinical nasal s,Jagmeet Kaur(E8387)
Deep Learning-Based Automated Detection of Ear Diseases Using Otoscopic Images,To detect and classify common ear diseases using otoscopic images To compare CNN architectures for ear disease classification To support early and accurate diagnosis in primary healthcare,Research paper,Hardware: PC/Laptop (GPU recommended) Software: Python TensorFlow/Keras or PyTorch OpenCV Dataset:,Jagmeet Kaur(E8387)
Smart Agriculture Monitoring & Irrigation System,Automate irrigation based on real-time soil conditions.,Research paper,IoTArduino/ESP32,Komal Sharma(E14735)
Gesture-Controlled Robot,Build a robot that moves based on human gestures.,Competition,MLPythonAIIOT,Komal Sharma(E14735)
Raspberry Pi Home Security System with Alerts,Detect motion and notify the user instantly.,Research paper,AIIOT,Komal Sharma(E14735)
FPGA Traffic Light Controller with Dynamic Timing,Implement real-time traffic signal control.,Research paper,AIIOT,Komal Sharma(E14735)
Plant Disease Detection System Using Deep Learning and TensorFlow,The primary objective of this project is to design and implement a deep learning-based system for accurate plant disease detection. The project aims to automate disease identification from leaf images reduce dependency on manual inspection improve early diagnosis and enhance crop productivity. Additionally it seeks to apply TensorFlow-based CNN models to achieve reliable classification performance suitable for real-world agricultural environments.,Research paper,Python Programming,Ankita Dhiman(E11431)
Blockchain-Based Secure Voting System,Provide tamper-resistant online voting.,Research paper,Blockchain / Distributed Systems,Komal Sharma(E14735)
Real-Time Cyber security Threat Detector,Detect abnormal network activity effectively.,Book Chapter,Security Analytics / Machine Learning,Komal Sharma(E14735)
Health Analytics Portal with Predictive Insights,Analyze patient records to support medical decisions.,Research paper,Data Analytics / Web Application,Komal Sharma(E14735)
Smart Irrigation System,To optimize water usage in agriculture by automating irrigation based on soil conditions reducing wastage and supporting sustainable farming practices.,Patent,Arduino Sensors C programming IoT basics Circuit design,Surinder Kaur(E1033)
Energy Efficient Smart Street Light System,To reduce electricity consumption and promote smart city infrastructure using automation.,Patent,Arduino Sensors Embedded C Circuit design IoT basics,Surinder Kaur(E1033)
Accident Detection and Emergency Alert System,To reduce response time during accidents and improve road safety through automation.,Research paper,Arduino Sensors GPS/GSM basics Embedded C IoT,Surinder Kaur(E1033)
Sound Pollution Monitoring System using IOT,Objectives of project is to make student understand that how real world problems can be solved using Computer science and IOT. To design and develop system with hardware and software.,Product,Programming language IOT device knowledge Architecture sensor software knowledge,Puja Shrivastava(E17060)
Chat Bot for Career Guidance,The objective of the Career Guidance Chatbot project is to design and develop an intelligent conversational system that assists students in selecting suitable career paths based on their interests skills and academic background. The system aims to provide accurate information on careers higher education options certifications and entrance examinations using basic NLP and rule-based logic ensuring accessibility ease of use and practical learning of AI and web technologies.,Product,Programming SkillsBasic Natural Language Processing (NLP) Web Development Database Management Pr,Puja Shrivastava(E17060)
(Field vs Non-Field Classification using Satellite Images),1)To classify agricultural fields and non-fields using satellite images. 2)To compare two segmentation models based on performance metrics. 3)To improve accuracy in agricultural land identification.,Research paper,Python Machine Learning Deep Learning Image Processing CNN,Yogita(E19584)
Student Performance Prediction Using Machine Learning,To collect and preprocess student academic data for analysis. To develop machine learning models to predict student performance. To identify key factors affecting students' academic outcomes. To evaluate model performance using accuracy and other metrics. To support early identification of students who need academic assistance.,Research paper,Python Data Analysis Machine Learning Pandas Scikit-learn,Yogita(E19584)
AI-Based Coronary Artery Disease Risk Prediction Using Machine Learning,Study Coronary Artery Disease risk factors Apply machine learning for early risk prediction Compare performance of different ML algorithms Improve accuracy of CAD diagnosis support Support preventive healthcare decision-making,Research paper,Python Machine Learning Data Analysis Statistics Healthcare datasets,Jasmeet Kaur(E17596)
Handwritten Digit Recognition,To collect and preprocess handwritten digit image data. To design and train a machine learning / deep learning model for digit recognition. To accurately classify handwritten digits from 0 to 9. To evaluate model performance using accuracy and confusion matrix. To demonstrate the application of digit recognition in real-world systems.,Research paper,Python Neural Networks CNN Image Processing,Yogita(E19584)
Smart Classroom Automation using IoT,Reduce energy consumption Automate classroom operations Improve learning comfort,Research paper,IoT basics Sensors Embedded Systems Networking Python,Jasmeet Kaur(E17596)
Lie Detector Machine (Polygraph),To design and build an integrated system capable of real-time non-invasive stress detection. The project will use microcontrollers (Arduino) to interface with GSR and Pulse sensors employ Python for data acquisition apply signal processing for noise reduction and utilize a classification algorithm (or ML model) to analyze physiological metrics and identify signs of potential deception or high arousal.,Product,C/C++ Programming Python & Libraries Sensor Interfacing Signal Processing Real-time Visualization,Puja Shrivastava(E17060)
Credit Card Fraud Detection using Machine Learning Techniques,Study patterns of credit card fraud Build ML models for fraud detection Handle imbalanced transaction datasets Compare model performance and accuracy Reduce false positive fraud alerts,Product,Python Machine Learning Data Analysis Statistics Data Visualization,Jasmeet Kaur(E17596)
Crop Recommendation System Using Machine Learning,To recommend suitable crops using machine learning techniques. To analyze environmental factors affecting crop selection. To support data-driven decision making in agriculture.,Research paper,Python Machine Learning Data Analysis Agriculture Data,Yogita(E19584)
